flux_campaign,day,Date,time,RECORD,SiteOutput,chamber,line,SiteCount_Avg,ConcA_Avg,ConcB_Avg,TGApressure_Avg,SamplePress_Avg,BypassPress_Avg,ExcessFlow_Avg,SampleFlow_Avg,One_Tot,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg
4,1,22/02/2014,6:54:20 AM,2965,3,cal1,ref,150.5,761.7571,8.324664,20.00243,400.0244,460.7531,140.188,195.6091,100,773.1027,8.332635,-35.91534
4,1,22/02/2014,6:54:40 AM,2966,4,cal2,ref,150.5,314.0817,3.443971,19.99962,400.0048,462.1109,142.4044,195.8791,100,322.4463,3.47663,-35.56898
4,1,22/02/2014,6:55:00 AM,2967,15,9,ref,150.5,414.2841,4.660399,19.9947,399.9916,444.3369,88.83544,195.9098,100,423.5209,4.687631,-9.969511
4,1,22/02/2014,6:55:20 AM,2968,16,9,samp,150.5,442.4135,4.971361,20.0019,399.9954,442.9134,97.75708,196.0047,100,451.8416,4.997036,-10.77235
4,1,22/02/2014,6:55:40 AM,2969,13,10,ref,150.5,419.7061,4.720516,19.99642,399.9958,443.1744,80.48623,195.8963,100,428.9952,4.747617,-10.09568
4,1,22/02/2014,6:56:00 AM,2970,14,10,samp,150.5,442.7943,4.975923,20.00207,399.9991,442.1251,97.75758,195.9355,100,452.2292,5.001572,-10.72293
4,1,22/02/2014,6:56:20 AM,2971,5,4,ref,150.5,419.0577,4.712955,19.99271,400.0006,442.3592,89.36191,195.8878,100,428.3436,4.740091,-10.16123
4,1,22/02/2014,6:56:40 AM,2972,6,4,samp,150.5,438.95,4.933408,20.00246,399.9994,443.2725,69.26729,195.9229,100,448.3563,4.959299,-10.61141
4,1,22/02/2014,6:57:00 AM,2973,17,11,ref,150.5,417.3979,4.695097,20.00128,399.9997,441.9559,98.68854,195.933,100,426.6571,4.722188,-10.00247
4,1,22/02/2014,6:57:20 AM,2974,18,11,samp,150.5,449.5356,5.049651,20.00329,400.0001,442.3315,90.99066,195.9028,100,459.0212,5.075004,-11.05168
4,1,22/02/2014,6:57:40 AM,2975,9,3,ref,150.5,416.547,4.685027,20.00249,399.9991,442.6707,83.79238,195.9011,100,425.7999,4.712049,-10.13913
4,1,22/02/2014,6:58:00 AM,2976,10,3,samp,150.5,439.316,4.936801,20.00384,399.9959,444.0648,54.29789,195.901,100,448.7264,4.962649,-10.75954
4,1,22/02/2014,6:58:20 AM,2977,11,8,ref,150.5,421.9593,4.745079,20.005,399.9992,441.6406,105.8329,195.9524,100,431.2475,4.771846,-10.2404
4,1,22/02/2014,6:58:40 AM,2978,12,8,samp,150.5,455.5168,5.115707,20.0036,400.0002,441.7354,104.0348,196.0515,100,465.0386,5.140676,-11.21645
4,1,22/02/2014,6:59:00 AM,2979,15,9,ref,150.5,413.4005,4.65114,19.99894,400.0006,442.4565,88.84016,195.9612,100,422.628,4.678451,-9.820709
4,1,22/02/2014,6:59:20 AM,2980,16,9,samp,150.5,441.0866,4.956786,20.00135,399.9997,442.095,97.7524,196.0393,100,450.5071,4.982575,-10.71325
4,1,22/02/2014,6:59:40 AM,2981,13,10,ref,150.5,423.4681,4.762373,19.99648,400.0002,442.8354,80.46996,195.913,100,432.7643,4.789066,-10.14986
4,1,22/02/2014,7:00:00 AM,2982,14,10,samp,150.5,441.5553,4.962726,20.00152,400.0004,442.0659,97.75452,195.9608,100,450.98,4.988514,-10.57278
4,1,22/02/2014,7:00:20 AM,2983,5,4,ref,150.5,423.2849,4.759979,20.00564,400.0012,442.5113,89.35983,195.9052,100,432.597,4.786893,-10.21679
4,1,22/02/2014,7:00:40 AM,2984,6,4,samp,150.5,437.7269,4.920105,19.99914,399.9989,443.4038,69.27466,195.9274,100,447.126,4.946074,-10.53454
4,1,22/02/2014,7:01:00 AM,2985,17,11,ref,150.5,414.2775,4.660641,20.00302,400.001,442.0404,98.69453,195.9548,100,423.5147,4.687847,-9.909625
4,1,22/02/2014,7:01:20 AM,2986,18,11,samp,150.5,447.9673,5.032965,20.00207,399.9995,442.4303,90.99024,195.9312,100,457.4383,5.058362,-10.88391
